seed_name,province,aliases,note
Làng nổi Tân Lập,Long An,"Tân Lập|Lang noi Tan Lap","du lịch sinh thái nổi tiếng"
Nhà cổ trăm cột,Long An,"Nhà cổ Trăm Cột|Can Duoc","di tích kiến trúc"
Khu du lịch Happyland,Long An,"Happyland Long An","khu du lịch/vui chơi"
Cảng biển Tân Lập,Long An,"Tân Lập Cần Giuộc|Cảng Tân Lập","điểm tham quan ven sông"
Khu bảo tồn đất ngập nước Láng Sen,Long An,"Láng Sen|Lang Sen Wetland Reserve","khu bảo tồn sinh thái"
Chùa Tôn Thạnh,Long An,"Tôn Thạnh|Ton Thanh Pagoda","di tích/tâm linh"
Công viên 7 Kỳ Quan,Long An,"7 Wonders Park|Cát Tường Phú Sinh","điểm check-in"
Làng cổ Phước Lộc Thọ,Long An,"Phước Lộc Thọ|Lang co Phuoc Loc Tho","điểm du lịch kiến trúc"
Làng hoa Sa Đéc,Đồng Tháp,"Sa Đéc Flower Village|Làng hoa Tân Quy Đông","làng hoa nổi tiếng"
Nhà cổ Huỳnh Thủy Lê,Đồng Tháp,"Huynh Thuy Le Ancient House|Nhà cổ Sa Đéc","di tích kiến trúc"
Khu du lịch Xẻo Quýt,Đồng Tháp,"Xẻo Quýt|Xeo Quyt","du lịch sinh thái/lịch sử"
Vườn quốc gia Tràm Chim,Đồng Tháp,"Tràm Chim|Tram Chim National Park","vườn quốc gia nổi tiếng"
Khu di tích Gò Tháp,Đồng Tháp,"Gò Tháp|Go Thap","di tích văn hóa/lịch sử"
Đồng sen Tháp Mười,Đồng Tháp,"Tháp Mười|Đồng sen Đồng Tháp","điểm du lịch sen nổi tiếng"
Chùa Phước Kiển,Đồng Tháp,"Chùa Lá Sen|Phước Kiển Tự","điểm tâm linh/check-in"
Khu du lịch sinh thái Gáo Giồng,Đồng Tháp,"Gáo Giồng|Gao Giong","du lịch sinh thái"
Chợ chiếu Định Yên,Đồng Tháp,"Định Yên|Làng chiếu Định Yên","làng nghề nổi tiếng"
Khu di tích Nguyễn Sinh Sắc,Đồng Tháp,"Lăng cụ Phó bảng Nguyễn Sinh Sắc","di tích lịch sử"
Biển Tân Thành,Tiền Giang,"Tân Thành Gò Công|Biển Gò Công","du lịch biển/ẩm thực nghêu"
Chùa Vĩnh Tràng,Tiền Giang,"Vinh Trang Pagoda|Chùa Vĩnh Tràng Mỹ Tho","chùa nổi tiếng"
Cù lao Thới Sơn,Tiền Giang,"Thới Sơn|Cồn Thới Sơn","du lịch sinh thái miền Tây"
Trại rắn Đồng Tâm,Tiền Giang,"Đồng Tâm Snake Farm|Trại rắn Tiền Giang","điểm tham quan"
Chợ nổi Cái Bè,Tiền Giang,"Cái Bè Floating Market|Chợ nổi Cái Bè","chợ nổi miền Tây"
