seed_name,province,aliases,note
Khu du lịch Mỹ Khánh,Cần Thơ,"Mỹ Khánh|My Khanh Tourist Village","khu du lịch sinh thái Cần Thơ"
Thiền viện Trúc Lâm Phương Nam,Cần Thơ,"Trúc Lâm Phương Nam|Thiền viện Cần Thơ","điểm tâm linh nổi tiếng"
Chợ đêm Tây Đô,Cần Thơ,"Tây Đô Night Market|Chợ đêm Cần Thơ","điểm tham quan/mua sắm"
Cầu đi bộ Cần Thơ,Cần Thơ,"Cầu tình yêu Cần Thơ|Cầu đi bộ Ninh Kiều","điểm check-in"
Cồn Sơn,Cần Thơ,"Cồn Sơn Cần Thơ|Con Son","du lịch cộng đồng"
Vườn cò Bằng Lăng,Cần Thơ,"Bằng Lăng|Bang Lang Stork Garden","du lịch sinh thái"
Chợ nổi Phong Điền,Cần Thơ,"Phong Điền Floating Market|Chợ nổi Phong Điền","chợ nổi miền Tây"
Làng du lịch Ông Đề,Cần Thơ,"Ông Đề|Ong De Tourist Area","khu du lịch sinh thái"
Đình Bình Thủy,Cần Thơ,"Đình thần Bình Thủy|Binh Thuy Communal House","di tích kiến trúc"
Chùa Ông Cần Thơ,Cần Thơ,"Chùa Ông|Ong Pagoda Can Tho","điểm tâm linh"
Hồ Xáng Thổi,Cần Thơ,"Xáng Thổi|Hồ Xáng Thổi Cần Thơ","điểm tham quan đô thị"
Chợ cổ Cần Thơ,Cần Thơ,"Chợ Cần Thơ|Chợ cổ Cần Thơ","điểm tham quan"
Khu du lịch Lung Cột Cầu,Cần Thơ,"Lung Cột Cầu|Lung Cot Cau","du lịch sinh thái"
Vườn ca cao Mười Cương,Cần Thơ,"Mười Cương|Muoi Cuong Cocoa Garden","du lịch vườn"
Cánh đồng điện gió Hòa Bình,Bạc Liêu,"Điện gió Hòa Bình Bạc Liêu|Hòa Bình Wind Farm","điểm check-in"
Đồng hồ Thái Dương Bạc Liêu,Bạc Liêu,"Đồng hồ đá Bạc Liêu|Thái Dương","điểm tham quan"
Khu du lịch Hồ Nam,Bạc Liêu,"Hồ Nam Bạc Liêu|Ho Nam Resort","khu du lịch nghỉ dưỡng"
Vườn nhãn cổ Bạc Liêu,Bạc Liêu,"Vườn nhãn Bạc Liêu|Nhãn cổ","du lịch vườn"
Chùa Giác Hoa,Bạc Liêu,"Giác Hoa Tự|Chùa Giác Hoa","điểm tâm linh"
Khu du lịch Vườn Chim Lập Điền,Bạc Liêu,"Lập Điền|Vườn chim Lập Điền","du lịch sinh thái"
Sân chim Bạc Liêu,Bạc Liêu,"Vườn chim Bạc Liêu|Bac Lieu Bird Garden","du lịch sinh thái"
Khu du lịch Nhà Mát,Bạc Liêu,"Nhà Mát|Nha Mat Tourist Area","khu du lịch biển"
Di tích Đồng Nọc Nạng,Bạc Liêu,"Nọc Nạng|Dong Noc Nang","di tích lịch sử"
Cầu Cần Thơ,Vĩnh Long,"Can Tho Bridge|Cầu Cần Thơ Vĩnh Long","công trình biểu tượng"
Văn Thánh Miếu Vĩnh Long,Vĩnh Long,"Văn Thánh Miếu|Van Thanh Mieu Vinh Long","di tích văn hóa"
Chùa Phật Ngọc Xá Lợi,Vĩnh Long,"Phật Ngọc Xá Lợi|Chùa Xá Lợi Vĩnh Long","điểm tâm linh"
Khu du lịch Vinh Sang,Vĩnh Long,"Vinh Sang|Vinh Sang Tourist Area","du lịch sinh thái"
Cù lao An Bình,Vĩnh Long,"An Bình|Cu lao An Binh","du lịch miệt vườn"
Lò gạch Mang Thít,Vĩnh Long,"Mang Thít|Vương quốc gạch gốm","làng nghề/di sản công nghiệp"
Chợ nổi Trà Ôn,Vĩnh Long,"Trà Ôn Floating Market|Chợ nổi Trà Ôn","chợ nổi miền Tây"
Nhà cổ Cai Cường,Vĩnh Long,"Cai Cường|Nhà cổ Vĩnh Long","di tích kiến trúc"
Khu tưởng niệm Thủ tướng Võ Văn Kiệt,Vĩnh Long,"Võ Văn Kiệt|Khu tưởng niệm Võ Văn Kiệt","di tích lịch sử"
Chùa Tiên Châu,Vĩnh Long,"Tiên Châu|Tien Chau Pagoda","điểm tâm linh"
Cồn Chim,Trà Vinh,"Con Chim|Cồn Chim Trà Vinh","du lịch cộng đồng"
Cù lao Long Trị,Trà Vinh,"Long Trị|Cu lao Long Tri","du lịch sinh thái"
Chùa Phật Lớn Trà Vinh,Trà Vinh,"Chùa Phật Lớn|Phật Lớn Trà Vinh","điểm tâm linh"
Chùa Ông Mẹt,Trà Vinh,"Ông Mẹt|Ong Met Pagoda","chùa Khmer cổ"
Chùa Samrông Ek,Trà Vinh,"Samrong Ek|Chùa Samrong Ek","chùa Khmer"
Chùa Lò Gạch,Trà Vinh,"Chùa Lò Gạch Trà Vinh","điểm tâm linh"
Đền thờ Bác Hồ Trà Vinh,Trà Vinh,"Đền thờ Chủ tịch Hồ Chí Minh Trà Vinh","di tích lịch sử"
Rừng ngập mặn Long Khánh,Trà Vinh,"Long Khánh|Rừng ngập mặn Trà Vinh","du lịch sinh thái"
Khu du lịch sinh thái Rạch Kè,Trà Vinh,"Rạch Kè|Rach Ke","du lịch sinh thái"
Đảo Phú Quý,Bình Thuận,"Phú Quý|Phu Quy Island","đảo du lịch nổi tiếng"
Bãi đá Ông Địa,Bình Thuận,"Ông Địa|Bãi đá Ông Địa Mũi Né","điểm check-in biển"
Làng chài Mũi Né,Bình Thuận,"Làng chài Mũi Né|Mui Ne Fishing Village","điểm tham quan"
Suối Tiên Mũi Né,Bình Thuận,"Fairy Stream Mui Ne|Suối Tiên Phan Thiết","danh thắng"
Lầu Ông Hoàng,Bình Thuận,"Lầu Ông Hoàng Phan Thiết","di tích/điểm tham quan"
Dinh Vạn Thủy Tú,Bình Thuận,"Vạn Thủy Tú|Dinh cá Ông Phan Thiết","di tích văn hóa"
Bãi Rạng Mũi Né,Bình Thuận,"Bãi Rạng|Rang Beach Mui Ne","bãi biển"
Cù Lao Câu,Bình Thuận,"Cù Lao Câu|Hon Cau Binh Thuan","đảo du lịch"
Mũi Kê Gà,Bình Thuận,"Kê Gà|Ke Ga Lighthouse","hải đăng/biển"
Hải đăng Kê Gà,Bình Thuận,"Ke Ga Lighthouse|Mũi Kê Gà","hải đăng nổi tiếng"
Núi Tà Cú,Bình Thuận,"Tà Cú|Ta Cu Mountain","núi/tâm linh"
Chùa Linh Sơn Trường Thọ,Bình Thuận,"Chùa Núi Tà Cú|Linh Sơn Trường Thọ","điểm tâm linh"
Bãi biển Cổ Thạch,Bình Thuận,"Cổ Thạch|Co Thach Beach","bãi biển/danh thắng"
Chùa Hang Cổ Thạch,Bình Thuận,"Chùa Cổ Thạch|Chùa Hang Tuy Phong","điểm tâm linh"
Cánh đồng quạt gió Tuy Phong,Bình Thuận,"Điện gió Tuy Phong|Quạt gió Bình Thuận","điểm check-in"
Tháp Chàm Po Klong Garai,Ninh Thuận,"Po Klong Garai|Tháp Chàm Ninh Thuận","di tích Chăm nổi tiếng"
Vịnh Vĩnh Hy,Ninh Thuận,"Vinh Hy Bay|Vĩnh Hy","vịnh biển nổi tiếng"
Hang Rái,Ninh Thuận,"Hang Rai|Vườn quốc gia Núi Chúa","danh thắng biển"
Vườn quốc gia Núi Chúa,Ninh Thuận,"Núi Chúa|Nui Chua National Park","vườn quốc gia"
Biển Ninh Chữ,Ninh Thuận,"Ninh Chữ|Ninh Chu Beach","bãi biển nổi tiếng"
Đồi cát Nam Cương,Ninh Thuận,"Nam Cương|Đồi cát Ninh Thuận","điểm check-in"
Làng gốm Bàu Trúc,Ninh Thuận,"Bàu Trúc|Bau Truc Pottery Village","làng nghề Chăm"
Làng dệt Mỹ Nghiệp,Ninh Thuận,"Mỹ Nghiệp|My Nghiep Cham Weaving Village","làng nghề Chăm"
Đồng cừu An Hòa,Ninh Thuận,"An Hòa Sheep Field|Đồng cừu Ninh Thuận","điểm check-in"
Mũi Dinh,Ninh Thuận,"Mui Dinh|Hải đăng Mũi Dinh","danh thắng biển"
Biển Bình Tiên,Ninh Thuận,"Bình Tiên|Binh Tien Beach","bãi biển"
Suối Lồ Ồ,Ninh Thuận,"Lồ Ồ|Suối Lồ Ồ Núi Chúa","du lịch sinh thái"
Bãi Kinh,Ninh Thuận,"Bãi Kinh|Bai Kinh Ninh Thuan","bãi biển"
Thác Pongour,Lâm Đồng,"Pongour Waterfall|Thác Bảy Tầng","thác nước nổi tiếng"
Thác Datanla,Lâm Đồng,"Datanla Waterfall|Thác Datanla Đà Lạt","thác/khu du lịch"
Thác Prenn,Lâm Đồng,"Prenn Waterfall|Thác Prenn Đà Lạt","thác/khu du lịch"
Thác Cam Ly,Lâm Đồng,"Cam Ly Waterfall|Thác Cam Ly","thác nước"
Đường hầm đất sét,Lâm Đồng,"Đường hầm điêu khắc|Clay Tunnel Dalat","điểm check-in"
Khu du lịch Fresh Garden,Lâm Đồng,"Fresh Garden Đà Lạt|Fresh Garden","điểm check-in"
Vườn hoa thành phố Đà Lạt,Lâm Đồng,"Dalat Flower Garden|Vườn hoa Đà Lạt","điểm tham quan"
Dinh Bảo Đại,Lâm Đồng,"Dinh III Đà Lạt|Bao Dai Palace","di tích kiến trúc"
Nhà thờ Con Gà Đà Lạt,Lâm Đồng,"Dalat Cathedral|Nhà thờ chính tòa Đà Lạt","kiến trúc nổi tiếng"
Ga Đà Lạt,Lâm Đồng,"Dalat Railway Station|Ga cổ Đà Lạt","kiến trúc nổi tiếng"
Chợ Đà Lạt,Lâm Đồng,"Dalat Market|Chợ đêm Đà Lạt","điểm tham quan"
Hồ Tuyền Lâm,Lâm Đồng,"Tuyen Lam Lake|Hồ Tuyền Lâm Đà Lạt","hồ du lịch"
Thiền viện Trúc Lâm Đà Lạt,Lâm Đồng,"Trúc Lâm Đà Lạt|Thiền viện Trúc Lâm","điểm tâm linh"
Ma Rừng Lữ Quán,Lâm Đồng,"Ma Rung Lu Quan|Ma Rừng","điểm du lịch"
Làng Cù Lần,Lâm Đồng,"Cu Lan Village|Làng Cù Lần Đà Lạt","khu du lịch"
Đồi Thiên Phúc Đức,Lâm Đồng,"Thiên Phúc Đức|Đồi săn mây Đà Lạt","điểm săn mây"
Khu du lịch ZooDoo,Lâm Đồng,"ZooDoo Đà Lạt|Zoodoo","khu tham quan"
Thác Voi,Lâm Đồng,"Elephant Waterfall|Thác Voi Lâm Đồng","thác nước"
Chùa Linh Ẩn,Lâm Đồng,"Linh An Pagoda|Chùa Linh Ẩn Đà Lạt","điểm tâm linh"
Chùa Linh Phước,Lâm Đồng,"Chùa Ve Chai|Linh Phước Pagoda","chùa nổi tiếng"
Hồ Lắk,Đắk Lắk,"Lak Lake|Ho Lak","hồ du lịch nổi tiếng Tây Nguyên"
Buôn Đôn,Đắk Lắk,"Bản Đôn|Buon Don","du lịch văn hóa"
Thác Dray Nur,Đắk Lắk,"Dray Nur Waterfall|Thác Đray Nur","thác nước nổi tiếng"
Thác Dray Sap,Đắk Nông,"Dray Sap Waterfall|Thác Đray Sáp","thác nước"
Bảo tàng Thế giới Cà phê,Đắk Lắk,"World Coffee Museum|Bảo tàng Cà phê Buôn Ma Thuột","điểm tham quan nổi tiếng"
Làng cà phê Trung Nguyên,Đắk Lắk,"Trung Nguyên Coffee Village|Làng cà phê","điểm tham quan"
Khu du lịch Ko Tam,Đắk Lắk,"Ko Tam|Kô Tam","du lịch sinh thái/văn hóa"
Vườn quốc gia Yok Đôn,Đắk Lắk,"Yok Don National Park|Yok Đôn","vườn quốc gia"
Đá Voi Mẹ,Đắk Lắk,"Mother Elephant Rock|Đá Voi Yang Tao","danh thắng"
Thác Gia Long,Đắk Nông,"Gia Long Waterfall|Thác Gia Long","thác nước"
Hang động Chư Bluk,Đắk Nông,"Chư Bluk|Hang núi lửa Chư Bluk","hang động núi lửa"
Công viên địa chất Đắk Nông,Đắk Nông,"Dak Nong Geopark|Công viên địa chất toàn cầu Đắk Nông","công viên địa chất"
Thác Liêng Nung,Đắk Nông,"Liêng Nung Waterfall|Thác Liêng Nung","thác nước"
Hồ Ea Snô,Đắk Nông,"Ea Snô|Ho Ea Sno","hồ du lịch"
Hồ Tây Đắk Mil,Đắk Nông,"Hồ Tây Đắk Mil|Dak Mil Lake","hồ du lịch"
Núi lửa Nâm Kar,Đắk Nông,"Nâm Kar|Nam Kar Volcano","địa chất/núi lửa"
Biển Hồ Pleiku,Gia Lai,"Biển Hồ T'Nưng|T'Nung Lake","hồ nổi tiếng Gia Lai"
Núi lửa Chư Đăng Ya,Gia Lai,"Chư Đăng Ya|Chu Dang Ya Volcano","điểm check-in"
Chùa Minh Thành,Gia Lai,"Minh Thanh Pagoda|Chùa Minh Thành Pleiku","chùa nổi tiếng"
Thác Phú Cường,Gia Lai,"Phú Cường Waterfall|Thác Phú Cường","thác nước"
Quảng trường Đại Đoàn Kết,Gia Lai,"Đại Đoàn Kết Square|Pleiku Square","biểu tượng Pleiku"
