seed_name,province,aliases,note
Hồ Núi Cốc,Thái Nguyên,"Núi Cốc|Khu du lịch Hồ Núi Cốc","điểm du lịch hồ nổi tiếng miền Bắc"
ATK Định Hóa,Thái Nguyên,"An toàn khu Định Hóa|ATK Thai Nguyen","di tích lịch sử quan trọng"
Đồi chè Tân Cương,Thái Nguyên,"Tân Cương Thái Nguyên|Đồi chè Thái Nguyên","điểm du lịch sinh thái/làng chè"
Hang Phượng Hoàng,Thái Nguyên,"Hang Phượng Hoàng Suối Mỏ Gà|Vo Nhai","hang động nổi tiếng"
Suối Mỏ Gà,Thái Nguyên,"Mỏ Gà|Suối Mỏ Gà Võ Nhai","điểm du lịch sinh thái"
Khu du lịch sinh thái Thái Hải,Thái Nguyên,"Bản làng Thái Hải|Thai Hai Village","du lịch cộng đồng"
Đền Đuổm,Thái Nguyên,"Đền Đuổm Phú Lương|Duom Temple","di tích tâm linh"
Hồ Ghềnh Chè,Thái Nguyên,"Ghenh Che Lake|Hồ Ghềnh Chè Sông Công","điểm du lịch hồ sinh thái"
Thác Khuôn Tát,Thái Nguyên,"Khuôn Tát|Thác Bảy Tầng","thác nước/di tích ATK"
Tam Thanh,Lạng Sơn,"Động Tam Thanh|Chùa Tam Thanh","danh thắng nổi tiếng Lạng Sơn"
Nhị Thanh,Lạng Sơn,"Động Nhị Thanh|Chùa Nhị Thanh","danh thắng nổi tiếng Lạng Sơn"
Núi Tô Thị,Lạng Sơn,"Nàng Tô Thị|To Thi Mountain","biểu tượng Lạng Sơn"
Ải Chi Lăng,Lạng Sơn,"Chi Lăng|Ải Chi Lăng Lạng Sơn","di tích lịch sử"
Chợ Đông Kinh,Lạng Sơn,"Đông Kinh Market|Chợ Đông Kinh Lạng Sơn","điểm mua sắm nổi tiếng"
Mẫu Sơn,Lạng Sơn,"Đỉnh Mẫu Sơn|Mau Son","điểm du lịch núi nổi tiếng"
Thành Nhà Mạc,Lạng Sơn,"Thành cổ Lạng Sơn|Mac Dynasty Citadel","di tích lịch sử"
Đền Kỳ Cùng,Lạng Sơn,"Kỳ Cùng|Đền Kỳ Cùng Lạng Sơn","điểm tâm linh"
Đền Mẫu Đồng Đăng,Lạng Sơn,"Đồng Đăng|Mẫu Đồng Đăng","điểm tâm linh nổi tiếng"
Hồ Pa Khoang,Điện Biên,"Pa Khoang Lake|Hồ Pá Khoang","hồ du lịch sinh thái"
Đồi A1,Điện Biên,"Đồi A1 Điện Biên|A1 Hill","di tích lịch sử Điện Biên"
Hầm Đờ Cát,Điện Biên,"Hầm De Castries|Hầm Đờ Cát Điện Biên","di tích lịch sử"
Bảo tàng Chiến thắng Điện Biên Phủ,Điện Biên,"Bảo tàng Điện Biên|Dien Bien Phu Victory Museum","bảo tàng lịch sử"
Cánh đồng Mường Thanh,Điện Biên,"Mường Thanh|Muong Thanh Field","cảnh quan nổi tiếng Điện Biên"
Cực Tây A Pa Chải,Điện Biên,"A Pa Chải|Mốc ngã ba biên giới","điểm cực Tây Việt Nam"
Suối khoáng nóng Hua Pe,Điện Biên,"Hua Pe Hot Spring|Hua Pe","du lịch nghỉ dưỡng"
Động Pa Thơm,Điện Biên,"Pa Thơm Cave|Động Pa Thơm Điện Biên","hang động du lịch"
Động Tiên Sơn,Lai Châu,"Tiên Sơn Lai Châu|Động Tiên Sơn Tam Đường","hang động nổi tiếng"
Đèo Ô Quy Hồ,Lai Châu,"Ô Quy Hồ|O Quy Ho Pass","cung đèo nổi tiếng"
Cao nguyên Sìn Hồ,Lai Châu,"Sìn Hồ|Sin Ho Plateau","điểm du lịch vùng cao"
Bạch Mộc Lương Tử,Lai Châu,"Kỳ Quan San|Bach Moc Luong Tu","điểm trekking nổi tiếng"
Pu Ta Leng,Lai Châu,"Pú Ta Leng|Putaleng","đỉnh núi trekking nổi tiếng"
Thác Tác Tình,Lai Châu,"Tác Tình|Tac Tinh Waterfall","thác nước nổi tiếng"
Cầu kính Rồng Mây,Lai Châu,"Rồng Mây|Cầu kính Lai Châu","điểm check-in nổi tiếng"
Bản Sin Suối Hồ,Lai Châu,"Sin Suoi Ho|Bản Sin Suối Hồ Phong Thổ","du lịch cộng đồng"
Mù Cang Chải,Yên Bái,"Mu Cang Chai|Ruộng bậc thang Mù Cang Chải","ruộng bậc thang nổi tiếng"
Đèo Khau Phạ,Yên Bái,"Khau Phạ|Khau Pha Pass","cung đèo nổi tiếng"
Tú Lệ,Yên Bái,"Tu Le|Thung lũng Tú Lệ","điểm du lịch ruộng lúa"
Suối Giàng,Yên Bái,"Suoi Giang|Chè Shan Tuyết Suối Giàng","du lịch sinh thái/văn hóa"
Hồ Thác Bà,Yên Bái,"Thác Bà Lake|Ho Thac Ba","hồ du lịch nổi tiếng"
Tà Chì Nhù,Yên Bái,"Ta Chi Nhu|Phu Song Sung","điểm trekking/săn mây"
Bản Lìm Mông,Yên Bái,"Lìm Mông|Lim Mong","bản du lịch vùng cao"
Nghĩa Lộ,Yên Bái,"Thung lũng Mường Lò|Muong Lo","du lịch văn hóa"
Đền Hùng,Phú Thọ,"Khu di tích Đền Hùng|Hung Kings Temple","di tích quốc gia đặc biệt"
Đầm Ao Châu,Phú Thọ,"Ao Châu|Đầm Ao Châu Hạ Hòa","điểm du lịch sinh thái"
Vườn quốc gia Xuân Sơn,Phú Thọ,"Xuân Sơn|Xuan Son National Park","vườn quốc gia"
Đảo Ngọc Xanh,Phú Thọ,"Khu du lịch Đảo Ngọc Xanh|Dao Ngoc Xanh","khu du lịch nghỉ dưỡng"
Đền Mẫu Âu Cơ,Phú Thọ,"Đền Âu Cơ|Mẫu Âu Cơ","điểm tâm linh"
Hồ Ly,Phú Thọ,"Hồ Ly Yên Lập|Ho Ly","điểm du lịch hồ"
Thác Mơ,Phú Thọ,"Thác Mơ Thanh Sơn|Thác Mơ Phú Thọ","thác nước"
Bạch Hạc,Phú Thọ,"Đền Bạch Hạc|Việt Trì","điểm tâm linh lịch sử"
Chùa Hương,Hà Nội,"Hương Sơn|Perfume Pagoda","quần thể tâm linh nổi tiếng"
Làng cổ Đường Lâm,Hà Nội,"Đường Lâm|Duong Lam Ancient Village","làng cổ nổi tiếng"
Ba Vì,Hà Nội,"Vườn quốc gia Ba Vì|Ba Vi National Park","điểm du lịch sinh thái"
Thiên Sơn Suối Ngà,Hà Nội,"Thiên Sơn - Suối Ngà|Ba Vì","khu du lịch sinh thái"
Khoang Xanh Suối Tiên,Hà Nội,"Khoang Xanh|Suối Tiên Ba Vì","khu du lịch sinh thái"
Làng gốm Bát Tràng,Hà Nội,"Bát Tràng|Bat Trang Ceramic Village","làng nghề nổi tiếng"
Làng lụa Vạn Phúc,Hà Nội,"Vạn Phúc|Van Phuc Silk Village","làng nghề nổi tiếng"
Nhà tù Hỏa Lò,Hà Nội,"Hỏa Lò|Hoa Lo Prison","di tích lịch sử"
Nhà hát Lớn Hà Nội,Hà Nội,"Hanoi Opera House|Nhà hát Lớn","kiến trúc biểu tượng"
Cầu Long Biên,Hà Nội,"Long Bien Bridge|Cầu Long Biên Hà Nội","biểu tượng Hà Nội"
Đền Ngọc Sơn,Hà Nội,"Ngọc Sơn|Đền Ngọc Sơn Hồ Gươm","điểm tâm linh biểu tượng"
Chùa Một Cột,Hà Nội,"One Pillar Pagoda|Chùa Một Cột Hà Nội","biểu tượng Hà Nội"
