id,name,address,province,url1,url2,url3,url4,url5
TN_0085,Đồi chè Tân Cương view point,"Tân Cương, TP Thái Nguyên",Thái Nguyên,,,,,
TN_0084,Thác Khuôn Tát 7 tầng,"Phú Đình, Định Hóa, Thái Nguyên",Thái Nguyên,,,,,
LS_0001,Động Tam Thanh,"Phường Tam Thanh, TP Lạng Sơn",Lạng Sơn,,,,,
LS_0003,Động Nhị Thanh,"Phường Tam Thanh, TP Lạng Sơn",Lạng Sơn,,,,,
LS_0005,Núi Tô Thị,"TP Lạng Sơn, Lạng Sơn",Lạng Sơn,,,,,
LS_0030,Ải Chi Lăng,"Chi Lăng, Lạng Sơn",Lạng Sơn,,,,,
LS_0007,Chợ Đông Kinh,"TP Lạng Sơn, Lạng Sơn",Lạng Sơn,,,,,
LS_0017,Đỉnh Mẫu Sơn,"Mẫu Sơn, Lộc Bình, Lạng Sơn",Lạng Sơn,,,,,
LS_0006,Thành nhà Mạc Lạng Sơn,"TP Lạng Sơn, Lạng Sơn",Lạng Sơn,,,,,
LS_0009,Đền Kỳ Cùng,"TP Lạng Sơn, Lạng Sơn",Lạng Sơn,,,,,
LS_0011,Đền Mẫu Đồng Đăng,"Đồng Đăng, Cao Lộc, Lạng Sơn",Lạng Sơn,,,,,
DB_0012,Hồ Pá Khoang,"Pá Khoang, Điện Biên",Điện Biên,,,,,
DB_0001,Đồi A1,"Điện Biên Phủ, Điện Biên",Điện Biên,,,,,
DB_0002,Hầm De Castries,"Điện Biên Phủ, Điện Biên",Điện Biên,,,,,
DB_0003,Bảo tàng Chiến thắng lịch sử Điện Biên Phủ,"Điện Biên Phủ, Điện Biên",Điện Biên,,,,,
DB_0008,Cánh đồng Mường Thanh,"Mường Thanh, Điện Biên",Điện Biên,,,,,
DB_0058,A Pa Chải,"Sín Thầu, Mường Nhé, Điện Biên",Điện Biên,,,,,
DB_0035,Suối khoáng nóng Hua Pe,"Thanh Luông, Điện Biên, Điện Biên",Điện Biên,,,,,
DB_0075,Động Pa Thơm,"Pa Thơm, Điện Biên, Điện Biên",Điện Biên,,,,,
LC_0021,Động Tiên Sơn,"Bình Lư, Tam Đường, Lai Châu",Lai Châu,,,,,
LC_0001,Đèo Ô Quy Hồ,"Quốc lộ 4D, Tam Đường, Lai Châu",Lai Châu,,,,,
LC_0017,Cao nguyên Sìn Hồ,"Sìn Hồ, Lai Châu",Lai Châu,,,,,
LC_0014,Bạch Mộc Lương Tử,"Hoàng Liên Sơn, Phong Thổ, Lai Châu",Lai Châu,,,,,
LC_0010,Pu Ta Leng,"Hồ Thầu, Tam Đường, Lai Châu",Lai Châu,,,,,
LC_0009,Thác Tác Tình,"Bình Lư, Tam Đường, Lai Châu",Lai Châu,,,,,
LC_0003,Cầu kính Rồng Mây,"Sơn Bình, Tam Đường, Lai Châu",Lai Châu,,,,,
LC_0064,Bản Sin Suối Hồ,"Sin Suối Hồ, Phong Thổ, Lai Châu",Lai Châu,,,,,
YB_0001,Ruộng bậc thang Mù Cang Chải,"Mù Cang Chải, Yên Bái",Yên Bái,,,,,
YB_0010,Đèo Khau Phạ,"Quốc lộ 32, Mù Cang Chải, Yên Bái",Yên Bái,,,,,
YB_0099,Tú Lệ,"Tú Lệ, Văn Chấn, Yên Bái",Yên Bái,,,,,
YB_0031,Suối Giàng,"Suối Giàng, Văn Chấn, Yên Bái",Yên Bái,,,,,
YB_0021,Hồ Thác Bà,"Yên Bình, Yên Bái",Yên Bái,,,,,
YB_0038,Tà Chì Nhù,"Xà Hồ, Trạm Tấu, Yên Bái",Yên Bái,,,,,
YB_0014,Bản Lìm Mông,"Cao Phạ, Mù Cang Chải, Yên Bái",Yên Bái,,,,,
YB_0044,Nghĩa Lộ,"Nghĩa Lộ, Yên Bái",Yên Bái,,,,,
PTO_0009,Bảo tàng Hùng Vương tại Đền Hùng,"Khu di tích Đền Hùng, Việt Trì, Phú Thọ",Phú Thọ,,,,,
PTO_0059,Đầm Ao Châu,"Hạ Hòa, Phú Thọ",Phú Thọ,,,,,
PTO_0043,Vườn quốc gia Xuân Sơn,"Tân Sơn, Phú Thọ",Phú Thọ,,,,,
PTO_0034,Đảo Ngọc Xanh,"La Phù, Thanh Thủy, Phú Thọ",Phú Thọ,,,,,
PTO_0060,Đền Mẫu Âu Cơ,"Hiền Lương, Hạ Hòa, Phú Thọ",Phú Thọ,,,,,
PTO_0105,Hồ Ly,"Yên Lập, Phú Thọ",Phú Thọ,,,,,
PTO_0111,Thác Mơ Thanh Sơn,"Thanh Sơn, Phú Thọ",Phú Thọ,,,,,
PTO_0101,Đền Bạch Hạc,"Bạch Hạc, Việt Trì, Phú Thọ",Phú Thọ,,,,,
ha-noi__chua-huong,Chùa Hương,"Hương Sơn, Mỹ Đức, Hà Nội",Hà Nội,,,,,
ha-noi__lang-co-duong-lam,Làng cổ Đường Lâm,"Đường Lâm, Sơn Tây, Hà Nội",Hà Nội,,,,,
ha-noi__vuon-quoc-gia-ba-vi,Vườn quốc gia Ba Vì,"Tản Lĩnh, Ba Vì, Hà Nội",Hà Nội,,,,,
ha-noi__thien-son-suoi-nga,Thiên Sơn - Suối Ngà,"Vân Hòa, Ba Vì, Hà Nội",Hà Nội,,,,,
ha-noi__khoang-xanh-suoi-tien,Khoang Xanh - Suối Tiên,"Vân Hòa, Ba Vì, Hà Nội",Hà Nội,,,,,
ha-noi__lang-gom-bat-trang,Làng gốm Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",Hà Nội,,,,,
ha-noi__lang-lua-van-phuc,Làng lụa Vạn Phúc,"Vạn Phúc, Hà Đông, Hà Nội",Hà Nội,,,,,
ha-noi__nha-tu-hoa-lo,Nhà tù Hỏa Lò,"1 Hỏa Lò, Hoàn Kiếm, Hà Nội",Hà Nội,,,,,
ha-noi__nha-hat-lon-ha-noi,Nhà hát Lớn Hà Nội,"1 Tràng Tiền, Hoàn Kiếm, Hà Nội",Hà Nội,,,,,
ha-noi__cau-long-bien,Cầu Long Biên,"Cầu Long Biên, Hà Nội",Hà Nội,,,,,
ha-noi__den-ngoc-son,Đền Ngọc Sơn,"Đảo Ngọc, Hồ Hoàn Kiếm, Hoàn Kiếm, Hà Nội",Hà Nội,,,,,
ha-noi__chua-mot-cot,Chùa Một Cột,"Phố Chùa Một Cột, Ba Đình, Hà Nội",Hà Nội,,,,,
ha-noi__ho-tay,Hồ Tây,"Quận Tây Hồ, Hà Nội",Hà Nội,,,,,
ha-noi__lang-van-hoa-du-lich-cac-dan-toc-viet-nam,Làng văn hóa - du lịch các dân tộc Việt Nam,"Đồng Mô, Sơn Tây, Hà Nội",Hà Nội,,,,,
BDU_0001,Khu du lịch Đại Nam,"Hiệp An, Thủ Dầu Một, Bình Dương",Bình Dương,,,,,
BDU_0006,Chùa Hội Khánh,"Thủ Dầu Một, Bình Dương",Bình Dương,,,,,
BDU_0050,Làng tre Phú An,"Phú An, Bến Cát, Bình Dương",Bình Dương,,,,,
BDU_0010,Nhà thờ Chánh tòa Phú Cường,"Thủ Dầu Một, Bình Dương",Bình Dương,,,,,
BDU_0045,Chợ Dầu Tiếng,"Dầu Tiếng, Bình Dương",Bình Dương,,,,,
BDU_0035,Khu du lịch Thủy Châu,"Dĩ An, Bình Dương",Bình Dương,,,,,
BDU_0008,Chùa Bà Thiên Hậu Bình Dương,"Thủ Dầu Một, Bình Dương",Bình Dương,,,,,
HCM_0063,Địa đạo Củ Chi,"Phú Hiệp, Củ Chi, TP Hồ Chí Minh",TP Hồ Chí Minh,,,,,
