id,name,address,province,url1,url2,url3,url4,url5
LA_0001,Làng nổi Tân Lập,"Mộc Hóa, Long An",Long An,,,,,
LA_0012,Nhà Trăm Cột,"Cần Đước, Long An",Long An,,,,,
LA_0009,Khu du lịch Happyland Long An,"Bến Lức, Long An",Long An,,,,,
LA_0005,Khu bảo tồn đất ngập nước Láng Sen,"Tân Hưng, Long An",Long An,,,,,
LA_0014,Chùa Tôn Thạnh,"Cần Giuộc, Long An",Long An,,,,,
LA_0067,Làng cổ Phước Lộc Thọ,"Đức Hòa, Long An",Long An,,,,,
DT_0026,Làng hoa Sa Đéc,"Sa Đéc, Đồng Tháp",Đồng Tháp,,,,,
DT_0028,Nhà cổ Huỳnh Thủy Lê,"Sa Đéc, Đồng Tháp",Đồng Tháp,,,,,
DT_0008,Khu di tích Xẻo Quýt,"Cao Lãnh, Đồng Tháp",Đồng Tháp,,,,,
DT_0001,Vườn quốc gia Tràm Chim,"Tam Nông, Đồng Tháp",Đồng Tháp,,,,,
DT_0010,Khu di tích Gò Tháp,"Tháp Mười, Đồng Tháp",Đồng Tháp,,,,,
DT_0013,Đồng sen Tháp Mười,"Tháp Mười, Đồng Tháp",Đồng Tháp,,,,,
DT_0005,Khu du lịch sinh thái Gáo Giồng,"Cao Lãnh, Đồng Tháp",Đồng Tháp,,,,,
DT_0052,Chợ chiếu Định Yên,"Lấp Vò, Đồng Tháp",Đồng Tháp,,,,,
DT_0018,Khu di tích Nguyễn Sinh Sắc,"TP Cao Lãnh, Đồng Tháp",Đồng Tháp,,,,,
TG_0042,Biển Tân Thành,"Gò Công Đông, Tiền Giang",Tiền Giang,,,,,
TG_0001,Chùa Vĩnh Tràng,"Mỹ Tho, Tiền Giang",Tiền Giang,,,,,
TG_0002,Cù lao Thới Sơn,"Thới Sơn, Mỹ Tho, Tiền Giang",Tiền Giang,,,,,
TG_0007,Trại rắn Đồng Tâm,"Châu Thành, Tiền Giang",Tiền Giang,,,,,
TG_0020,Chợ nổi Cái Bè,"Cái Bè, Tiền Giang",Tiền Giang,,,,,
TG_0023,Nhà cổ Ba Đức,"Đông Hòa Hiệp, Cái Bè, Tiền Giang",Tiền Giang,,,,,
TG_0037,Thiền viện Trúc Lâm Chánh Giác,"Tân Phước, Tiền Giang",Tiền Giang,,,,,
VL_0026,Cầu Mỹ Thuận,"TP Vĩnh Long, Vĩnh Long",Vĩnh Long,,,,,
TG_0032,Chợ Cái Bè,"Cái Bè, Tiền Giang",Tiền Giang,,,,,
BTre_0033,Làng hoa kiểng Cái Mơn,"Chợ Lách, Bến Tre",Bến Tre,,,,,
BTre_0010,Sân chim Vàm Hồ,"Ba Tri, Bến Tre",Bến Tre,,,,,
BTre_0028,Khu du lịch Lan Vương,"Bến Tre, Bến Tre",Bến Tre,,,,,
BTre_0029,Khu du lịch Làng Bè,"Châu Thành, Bến Tre",Bến Tre,,,,,
BTre_0004,Cồn Quy,"Châu Thành, Bến Tre",Bến Tre,,,,,
BTre_0001,Cồn Phụng,"Châu Thành, Bến Tre",Bến Tre,,,,,
BTre_0027,Nhà thờ Bến Tre,"Bến Tre, Bến Tre",Bến Tre,,,,,
BTre_0055,Biển Thạnh Phú,"Thạnh Phú, Bến Tre",Bến Tre,,,,,
BTre_0012,Lăng mộ Nguyễn Đình Chiểu,"Ba Tri, Bến Tre",Bến Tre,,,,,
TV_0001,Ao Bà Om,"TP Trà Vinh, Trà Vinh",Trà Vinh,,,,,
TV_0003,Chùa Âng,"TP Trà Vinh, Trà Vinh",Trà Vinh,,,,,
TV_0004,Bảo tàng Văn hóa Dân tộc Khmer Trà Vinh,"TP Trà Vinh, Trà Vinh",Trà Vinh,,,,,
TV_0005,Chùa Hang Trà Vinh,"Trà Cú, Trà Vinh",Trà Vinh,,,,,
TV_0024,Biển Ba Động,"Duyên Hải, Trà Vinh",Trà Vinh,,,,,
TV_0036,Cù lao Tân Quy,"Cầu Kè, Trà Vinh",Trà Vinh,,,,,
