id,name,address,province,url1,url2,url3,url4,url5
QN_0001,Vịnh Hạ Long,"Vịnh Hạ Long, Quảng Ninh",Quảng Ninh,,,,,
QN_0124,Chùa Lân - Thiền viện Trúc Lâm Yên Tử,"Uông Bí, Quảng Ninh",Quảng Ninh,,,,,
QN_0081,Đảo Cô Tô,"Cô Tô, Quảng Ninh",Quảng Ninh,,,,,
HPH_0051,Đảo Cát Bà,"Quần đảo Cát Bà, đặc khu Cát Hải, Hải Phòng",Hải Phòng,,,,,
HPH_0052,Vịnh Lan Hạ,"Phía đông đảo Cát Bà, Hải Phòng",Hải Phòng,,,,,
ha-noi__ho-hoan-kiem,Hồ Hoàn Kiếm,"Quận Hoàn Kiếm, Hà Nội",Hà Nội,,,,,
ha-noi__van-mieu-quoc-tu-giam,Văn Miếu - Quốc Tử Giám,"58 Quốc Tử Giám, Đống Đa, Hà Nội",Hà Nội,,,,,
ha-noi__hoang-thanh-thang-long,Hoàng thành Thăng Long,"19C Hoàng Diệu, Ba Đình, Hà Nội",Hà Nội,,,,,
ha-noi__lang-chu-tich-ho-chi-minh,Lăng Chủ tịch Hồ Chí Minh,"2 Hùng Vương, Ba Đình, Hà Nội",Hà Nội,,,,,
ha-noi__pho-co-ha-noi,Phố cổ Hà Nội,"Khu phố cổ, Hoàn Kiếm, Hà Nội",Hà Nội,,,,,
ha-noi__chua-tran-quoc,Chùa Trấn Quốc,"Đường Thanh Niên, Tây Hồ, Hà Nội",Hà Nội,,,,,
VP_0001,Thị trấn Tam Đảo,"Tam Đảo, Vĩnh Phúc",Vĩnh Phúc,,,,,
LCI_0001,Thị xã Sa Pa,"Sa Pa, Lào Cai",Lào Cai,,,,,
LCI_0002,Đỉnh Fansipan,"Dãy Hoàng Liên Sơn, Sa Pa, Lào Cai",Lào Cai,,,,,
LCI_0061,Bắc Hà,"Bắc Hà, Lào Cai",Lào Cai,,,,,
HGI_0081,Bảo tàng tỉnh Hà Giang,"TP Hà Giang, Hà Giang",Hà Giang,,,,,
HGI_0020,Đèo Mã Pì Lèng,"Quốc lộ 4C, Mèo Vạc, Hà Giang",Hà Giang,,,,,
HGI_0022,Sông Nho Quế,"Mèo Vạc, Hà Giang",Hà Giang,,,,,
HGI_0005,Cột cờ Lũng Cú,"Lũng Cú, Đồng Văn, Hà Giang",Hà Giang,,,,,
HGI_0003,Chợ phiên Đồng Văn,"Thị trấn Đồng Văn, Hà Giang",Hà Giang,,,,,
CB_0001,Thác Bản Giốc,"Đàm Thủy, Trùng Khánh, Cao Bằng",Cao Bằng,,,,,
BK_0002,Hồ Ba Bể,"Nam Mẫu, Ba Bể, Bắc Kạn",Bắc Kạn,,,,,
SL_0001,Cao nguyên Mộc Châu,"Mộc Châu, Sơn La",Sơn La,,,,,
SL_0031,Tà Xùa,"Tà Xùa, Bắc Yên, Sơn La",Sơn La,,,,,
HB_0004,Bản Văn Mai Châu,"Mai Châu, Hòa Bình",Hòa Bình,,,,,
